dpr,txv,dtv,mtv,dmv,xtv,dxt,t1v,d1v,gen,dgn,fee,dfe,req,txs,hgt,dif,inp,out,qv1,qv2,qv3,qv4,qv5,qd1,qd2,qd3,qd4,qd5,ctv,dcv,btv,dbv,ltv,dlv,blk,int,tmst,date,time
0,0,0,0,0,0,0,0,0,700,0,0,0,28,14,14,1,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6171.42857142857,2009-01-09T00:00:00.000Z,2009-01-09,00:00:00
0,0,0,0,0,0,0,0,0,3050,0,0,0,122,61,75,1,0,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1416.39344262295,2009-01-10T00:00:00.000Z,2009-01-10,00:00:00
0,0,0,0,0,0,0,0,0,4650,0,0,0,186,93,168,1,0,4650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,929.032258064516,2009-01-11T00:00:00.000Z,2009-01-11,00:00:00
0,34,0,0,0,0,0,50,0,4700,0,0,0,209,101,262,1,179,4879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,919.148936170213,2009-01-12T00:00:00.000Z,2009-01-12,00:00:00
0,0,0,0,0,0,0,0,0,6150,0,0,0,246,123,385,1,0,6150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,702.439024390244,2009-01-13T00:00:00.000Z,2009-01-13,00:00:00
0,61,0,0,0,0,0,50,0,6450,0,0,0,263,130,514,1,61,6511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,669.767441860465,2009-01-14T00:00:00.000Z,2009-01-14,00:00:00
0,423,0,0,0,0,0,400,0,6300,0,0,0,283,134,640,1,500,6800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,685.714285714286,2009-01-15T00:00:00.000Z,2009-01-15,00:00:00
0,200,0,0,0,0,0,200,0,5400,0,0,0,224,110,748,1,200,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,800,2009-01-16T00:00:00.000Z,2009-01-16,00:00:00
0,0,0,0,0,0,0,0,0,5450,0,0,0,218,109,857,1,0,5450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,792.660550458716,2009-01-17T00:00:00.000Z,2009-01-17,00:00:00
0,150,0,0,0,0,0,150,0,5350,0,0,0,219,108,964,1,150,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,807.476635514019,2009-01-18T00:00:00.000Z,2009-01-18,00:00:00
0,775,0,0,0,0,0,750,0,5750,0,0,0,250,117,1079,1,775,6525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,751.304347826087,2009-01-19T00:00:00.000Z,2009-01-19,00:00:00
0,400,0,0,0,0,0,400,0,5700,0,0,0,238,115,1193,1,400,6100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,757.894736842105,2009-01-20T00:00:00.000Z,2009-01-20,00:00:00
0,100,0,0,0,0,0,100,0,5100,0,0,0,208,103,1295,1,100,5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,847.058823529412,2009-01-21T00:00:00.000Z,2009-01-21,00:00:00
0,500,0,0,0,0,0,500,0,4550,0,0,0,194,92,1386,1,500,5050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,949.450549450549,2009-01-22T00:00:00.000Z,2009-01-22,00:00:00
0,450,0,0,0,0,0,450,0,4200,0,0,0,181,86,1470,1,450,4650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1028.57142857143,2009-01-23T00:00:00.000Z,2009-01-23,00:00:00
0,500,0,0,0,0,0,500,0,10050,0,0,0,414,202,1671,1,500,10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,429.850746268657,2009-01-24T00:00:00.000Z,2009-01-24,00:00:00
0,50,0,0,0,0,0,50,0,9550,0,0,0,385,192,1862,1,50,9600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,452.356020942408,2009-01-25T00:00:00.000Z,2009-01-25,00:00:00
0,1000,0,0,0,0,0,1000,0,4800,0,0,0,214,97,1958,1,1000,5800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,900,2009-01-26T00:00:00.000Z,2009-01-26,00:00:00
0,150,0,0,0,0,0,100,0,4850,0,0,0,199,98,2055,1,150,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,890.721649484536,2009-01-27T00:00:00.000Z,2009-01-27,00:00:00
0,0,0,0,0,0,0,0,0,5600,0,0,0,224,112,2167,1,0,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,771.428571428571,2009-01-28T00:00:00.000Z,2009-01-28,00:00:00
0,600,0,0,0,0,0,600,0,6050,0,0,0,256,122,2288,1,600,6650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,714.04958677686,2009-01-29T00:00:00.000Z,2009-01-29,00:00:00
0,0,0,0,0,0,0,0,0,5850,0,0,0,234,117,2405,1,0,5850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,738.461538461538,2009-01-30T00:00:00.000Z,2009-01-30,00:00:00
